id,title,description,field_id,created_at,updated_at,added_by,update_by,deleted_by,deleted_at,code
1,"Human resources generalist",NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,678
2,"Human resources associate",NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,789
3,"Human resources specialist",NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,567
4,"Management information systems",NULL,2,NULL,"2022-07-26 00:44:08",NULL,NULL,NULL,"2022-07-26 00:44:08",YZ1
5,"Business administration and management",NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,234
6,"Master of Business Administration",NULL,2,NULL,"2022-07-26 00:43:54",NULL,NULL,NULL,"2022-07-26 00:43:54",567
7,"OBSTETRICS AND GYNAECOLOGY","Specialized in pregnant and woman care",14,"2021-07-01 05:13:59","2022-05-28 20:55:26",NULL,NULL,NULL,NULL,500
9,USMLE,"USA License EXAM",14,"2022-05-28 20:40:55","2022-05-28 20:42:17",NULL,NULL,NULL,NULL,503
10,AMC,"Australia License Exam",14,"2022-05-28 20:41:44","2022-05-28 20:41:44",NULL,NULL,NULL,NULL,502
11,PLAB,"UK license Exam",14,"2022-05-28 21:49:58","2022-05-28 21:49:58",NULL,NULL,NULL,NULL,501
12,PSYCHOLOGY,NULL,14,"2022-08-27 09:04:44","2022-08-27 09:04:44",NULL,NULL,NULL,NULL,504
13,"MEDICAL STATISTICS AND EPIDEMIOLOGY",NULL,14,"2022-09-05 23:40:42","2022-09-05 23:40:42",NULL,NULL,NULL,NULL,505
14,"INTERNAL MEDICINE",NULL,14,"2022-09-05 23:41:13","2022-09-05 23:41:13",NULL,NULL,NULL,NULL,506
15,SURGERY,NULL,14,"2022-09-05 23:42:20","2022-09-05 23:42:20",NULL,NULL,NULL,NULL,507
16,ARTS,NULL,1,"2022-10-17 17:23:52","2022-11-09 23:08:50",NULL,NULL,NULL,"2022-11-09 23:08:50",21
17,"A/L ARTS",NULL,15,"2022-10-31 16:12:07","2022-11-09 23:10:11",NULL,NULL,NULL,NULL,61
18,Sports,NULL,15,"2022-12-13 22:08:30","2022-12-13 22:08:30",NULL,NULL,NULL,NULL,62
19,Makeup,NULL,9,"2022-12-28 19:28:46","2022-12-28 19:28:46",NULL,NULL,NULL,NULL,HIJ1
20,English,NULL,16,"2022-12-29 16:24:44","2023-01-05 18:50:24",NULL,NULL,NULL,NULL,1
21,"Aari work",NULL,9,"2023-01-25 16:10:24","2023-01-25 16:10:24",NULL,NULL,NULL,NULL,2
22,Health,NULL,9,"2023-02-07 22:25:09","2023-02-07 22:25:09",NULL,NULL,NULL,NULL,LSH
23,Sinhala,NULL,16,"2023-02-16 17:25:22","2023-02-18 15:49:50",NULL,NULL,NULL,NULL,100
24,O/L,NULL,15,"2023-05-10 21:47:31","2023-05-10 21:47:51",NULL,NULL,NULL,NULL,SCH
25,Music,NULL,9,"2023-05-23 18:15:26","2023-05-23 18:15:26",NULL,NULL,NULL,NULL,LSM
26,IT,NULL,4,"2023-06-30 17:16:27","2023-06-30 17:16:27",NULL,NULL,NULL,NULL,SCHIT
27,Webinar,NULL,1,"2023-09-19 22:12:02","2023-09-19 22:12:02",NULL,NULL,NULL,NULL,WB/001
