id,title,url,code,short_description,estimated_duration,need_identity,language,status,is_approved,video,image,lecturer,field_id,course_category_id,type,is_active,is_show_duration,upcoming_date,created_at,updated_at,added_by,update_by,deleted_by,deleted_at,is_monthly_payment,is_upload_video
11,Obstetrics and Gynaecology complete Theory,obstetrics-and-gynaecology-theory,567/500/C10011,Complete theory,80,2,English Medium,Deactive,1,NULL,Obstetrics and Gynaecology Theory-image-1630208536.jpg,1,14,7,1,1,1,NULL,6/30/2021 23:49,2/20/2023 21:33,1,1,NULL,NULL,NULL,0
12,OBS & GYN FREE THEORY,free-theory-obstetrics-and-gynaecology,567/500/4,Catch a momentary glimpse of the vast obstetrics and gynaecology theory to boost yourself up for start studying.,500,0,English Medium,Active,1,NULL,OBS & GYN FREE THEORY-image-1676096220.jpg,7,14,7,1,1,0,NULL,7/23/2021 16:22,2/11/2023 11:47,1,17,NULL,NULL,NULL,0
13,OBS & GYN FREE PAPER DISCUSSION,obs-gyn-free-paper-discussion,567/500/5,Short revision questions to check your application of obstetrics and gynaecology theory knowledge on different sample questions.,100,0,Tamil Medium,Active,1,NULL,OBS & GYN FREE PAPER DISCUSSION-image-1676097650.jpg,7,14,7,1,1,0,NULL,8/7/2021 23:19,10/19/2024 12:17,1,1,NULL,NULL,NULL,0
14,Moura Education Launch,moura-education-launch,PQR/678/m001,Moura Launch,10,0,English Medium,Active,1,NULL,Moura Launch-image-1629438521.jpg,26,1,1,2,1,1,NULL,8/20/2021 11:18,12/8/2023 23:33,1,1,NULL,NULL,NULL,0
15,OBS & GYN THEORY,obstetrics-and-gynaecology-theory-2,567/500/1,Detailed video lectures that will help you to gain the basic obstetrical and gynaecological theory knowledge.,120,2,English Medium,Active,1,NULL,OBS & GYN THEORY-image-1676096342.jpg,7,14,7,1,1,1,NULL,8/29/2021 9:44,10/31/2024 14:58,1,1,NULL,NULL,NULL,0
16,OBS & GYN MIXED PAPER DISCUSSION,obst-gyn-mixed-paper-discussion,567/500/2,Apply and review your obstetrics and gynaecology theory knowledge on the standard type questions and learn with integrated video discussions.,24,2,English Medium,Active,1,NULL,OBS & GYN MIXED PAPER DISCUSSION-image-1677496374.jpg,7,14,7,1,1,1,NULL,9/8/2021 8:21,10/31/2024 14:58,1,1,NULL,NULL,NULL,0
17,OBS & GYN TOPIC WISE REVISION,obstetrics-and-gynaecology-topic-wise-revision,567/500/3,Short and concise version of obstetrics and gynaecology theory for the summative assessment of your knowledge on basic concepts,24,2,English Medium,Active,1,NULL,OBS & GYN TOPIC WISE REVISION-image-1676096410.jpg,7,14,7,1,1,1,NULL,9/8/2021 20:34,11/3/2024 2:13,1,1,NULL,NULL,NULL,0
18,OBS & GYN FREE VIVA CLASS,obs-gyn-free-viva-class,567/500/6,Sneak a peak into the obstetrics and gynaecology clinical setup and to assess your clinical skills,100,0,English Medium,Active,1,NULL,OBS & GYN FREE VIVA CLASS-image-1677497613.jpg,7,14,7,1,1,0,NULL,9/9/2021 10:44,11/20/2023 18:12,1,1,NULL,NULL,NULL,0
19,OBS AND GYN VIVA COURSE,obstetrics-and-gynaecology-viva,567/500/7,Get virtual exposure to different obstetrical and gynaecological clinical scenarios with the case discussions and ace the key points and pitfalls of each case scenario,160,2,English Medium,Active,1,NULL,OBS AND GYN VIVA COURSE-image-1677496822.jpg,7,14,7,1,1,1,NULL,9/9/2021 11:15,10/31/2024 14:58,1,1,NULL,NULL,NULL,0
20,OBS & GYN EMERGENCY VIVA,obstetrics-and-gynaecology-emergency-viva,567/500/9,Get virtual exposure to different obstetrical and gynaecological clinical scenarios,40,2,English Medium,Active,1,NULL,OBS & GYN EMERGENCY VIVA-image-1677647369.jpg,7,14,7,1,1,1,NULL,9/9/2021 11:26,10/31/2024 14:57,1,1,NULL,NULL,NULL,0
