id,amount,paid_amount,discount_percentage,can_access,student_id,course_id,section_id,sub_section_id,packege_id,batch_id,mode,note,user_image,created_at,updated_at,added_by,update_by,deleted_by,deleted_at,discount,currency_type,reason,recover_reason,suspend_by,recover_by,validity_date,commission_percentage,actual_lkr_amount,currency_rate
1,0,0,0,1,2,11,NULL,NULL,11,NULL,Direct,NULL,NULL,9/15/2021 7:11,7/1/2021 0:07,NULL,NULL,NULL,NULL,0,lkr,NULL,NULL,NULL,NULL,NULL,0,0,350
2,0,0,0,1,2,11,NULL,NULL,11,NULL,Direct,NULL,NULL,9/15/2021 7:11,7/1/2021 0:07,NULL,NULL,NULL,NULL,0,lkr,NULL,NULL,NULL,NULL,NULL,0,0,350
5,0,0,0,1,1,11,NULL,NULL,11,NULL,Direct,NULL,Random-image-1626932360-1626932360-1626932360.png,9/15/2021 7:11,8/13/2021 23:18,NULL,NULL,NULL,NULL,0,lkr,camera not focus,student gave excuse letter,1,1,NULL,0,0,350
16,0,0,0,1,1,12,NULL,NULL,12,NULL,Direct,NULL,Random-image-1627228894-1627228894-1627228894.png,9/15/2021 7:11,7/25/2021 21:31,NULL,NULL,NULL,NULL,0,lkr,NULL,NULL,NULL,NULL,NULL,0,0,350
17,100,0,0,1,1,13,NULL,NULL,13,NULL,Direct,NULL,NULL,9/15/2021 7:11,8/9/2021 22:51,NULL,NULL,NULL,NULL,0,lkr,NULL,NULL,NULL,NULL,NULL,0,0,350
50,0,0,0,1,2,14,NULL,NULL,14,NULL,Direct,NULL,NULL,9/15/2021 7:11,8/20/2021 13:18,NULL,NULL,NULL,NULL,0,lkr,NULL,NULL,NULL,NULL,NULL,0,0,350
53,0,0,0,1,2352,11,NULL,NULL,11,NULL,Direct,NULL,Random-image-1629968539-1629968539-1629968539.png,9/15/2021 7:11,8/26/2021 14:32,NULL,NULL,NULL,NULL,0,lkr,NULL,NULL,NULL,NULL,NULL,0,0,350
55,0,0,0,1,2354,11,NULL,NULL,11,NULL,Direct,NULL,Random-image-1630391365-1630391365-1630391365.png,9/15/2021 7:11,8/31/2021 11:59,NULL,NULL,NULL,NULL,0,lkr,NULL,NULL,NULL,NULL,NULL,0,0,350
56,28000,0,0,1,1,15,NULL,NULL,15,16,Direct,100% scholarship,Random-image-1668104378-1668104378-1668104378.png,9/15/2021 7:11,11/10/2022 23:49,NULL,NULL,NULL,NULL,0,lkr,camera not focused<br/> no photo,excuse letter given,1,1,NULL,0,0,350
57,28000,0,100,4,884,15,NULL,NULL,15,16,Direct,NULL,NULL,9/15/2021 7:11,NULL,NULL,NULL,NULL,NULL,28000,lkr,NULL,NULL,NULL,NULL,NULL,0,0,350
